10 10 | 0 2 1 4 1 1 1 0 0 | - 2 3 - 3 - - 4 - | 6 o x - - | 5 14
10 10 | 0 2 2 3 1 1 1 0 0 | 4 2 2 1 - - 3 - - | 6 x o - - | 6 14
10 10 | 0 3 1 3 1 1 1 0 0 | 4 1 3 1 3 - - 4 - | 6 x x - - | 7 18
10 10 | 0 1 4 2 1 1 1 0 0 | 4 3 - 2 3 - 3 4 - | 6 x x - - | 7 21
10 10 | 0 3 2 2 1 1 1 0 0 | - 1 2 2 3 - - 4 - | 6 o x - - | 6 14
10 10 | 0 4 1 2 1 1 1 0 0 | 4 - 3 2 - - 3 - - | 6 x o - - | 5 14
10 10 | 0 2 4 1 1 1 1 0 0 | 4 2 - 3 3 - - 4 - | 6 x x - - | 6 18
10 10 | 0 3 3 1 1 1 1 0 0 | - 1 1 3 3 - 3 4 - | 6 o x - - | 7 17
10 10 | 0 2 3 3 1 0 1 0 0 | - - - - - 4 3 - - | 6 o o - - | 3 9
10 10 | 0 3 1 2 1 3 0 0 0 | - 1 3 2 3 1 - - - | 5 o o - - | 6 12
10 10 | 0 4 1 2 0 3 0 0 0 | 4 - 3 2 4 - - - - | 5 x o - - | 5 15
10 10 | 0 3 0 3 2 2 0 0 0 | - - 4 1 2 2 4 - - | 5 o x - - | 6 15
10 10 | 0 2 2 2 2 2 0 0 0 | - 2 2 - 2 2 - - - | 5 o o - - | 4 8
10 10 | 0 3 1 3 1 2 0 0 0 | - - - 1 3 2 - - - | 5 o o - - | 3 6
10 10 | 0 2 3 2 1 2 0 0 0 | 4 - - 2 3 - - - - | 5 x o - - | 3 9
10 10 | 0 3 1 3 2 1 0 0 0 | - - 3 1 - 3 4 - - | 5 o x - - | 5 13
10 10 | 0 1 4 2 2 1 0 0 0 | 4 3 - 2 2 - 4 - - | 5 x x - - | 6 17
10 10 | 0 1 3 4 1 1 0 0 0 | 4 3 1 0 - - 4 - - | 5 x x - - | 5 14
10 10 | 0 2 2 4 1 1 0 0 0 | 4 2 2 0 - - 4 - - | 5 x x - - | 5 14
10 10 | 0 3 1 4 1 1 0 0 0 | 4 1 3 0 3 3 4 - - | 5 x x - - | 7 20
10 10 | 0 1 4 3 1 1 0 0 0 | 4 3 - 1 3 - 4 - - | 5 x x - - | 6 17
10 10 | 0 2 3 3 1 1 0 0 0 | - 2 1 1 - 3 4 - - | 5 o x - - | 6 13
10 10 | 0 3 2 3 1 1 0 0 0 | - 1 2 1 3 - 4 - - | 5 o x - - | 6 13
10 10 | 0 4 1 3 1 1 0 0 0 | 4 - 3 1 - - 4 - - | 5 x x - - | 5 14
10 10 | 0 2 4 2 1 1 0 0 0 | 4 2 - 2 3 - 4 - - | 5 x x - - | 6 17
10 10 | 0 3 3 2 1 1 0 0 0 | - 1 1 2 3 - 4 - - | 5 o x - - | 6 13
10 10 | 0 3 2 3 2 0 0 0 0 | - - 2 1 2 4 - - - | 4 o x - - | 5 11
10 10 | 0 2 4 2 2 0 0 0 0 | - 2 0 - 2 4 - - - | 4 o x - - | 3 8
10 10 | 0 3 3 2 2 0 0 0 0 | 4 - 1 2 2 4 - - - | 4 x x - - | 6 15
10 10 | 0 1 4 4 1 0 0 0 0 | 4 3 0 0 3 4 - - - | 4 x x - - | 5 16
10 10 | 0 2 3 4 1 0 0 0 0 | 4 2 1 0 - 4 - - - | 4 x x - - | 5 13
10 10 | 0 3 2 4 1 0 0 0 0 | 4 1 2 0 3 4 - - - | 4 x x - - | 6 16
10 10 | 0 2 4 3 1 0 0 0 0 | - 2 0 1 - 4 - - - | 4 o x - - | 4 9
10 10 | 0 3 3 3 1 0 0 0 0 | - 1 1 1 3 4 - - - | 4 o x - - | 6 12
10 10 | 0 4 2 3 1 0 0 0 0 | 4 - 2 1 - 4 - - - | 4 x x - - | 5 13
10 10 | 0 3 4 2 1 0 0 0 0 | - 1 0 2 3 4 - - - | 4 o x - - | 5 12
10 10 | 0 4 3 3 0 0 0 0 0 | 4 0 1 1 4 - - - - | 3 x x - - | 5 12
10 10 | 0 4 4 2 0 0 0 0 0 | 4 0 0 2 4 - - - - | 3 x x - - | 4 12
13 11 | 0 2 2 2 3 1 1 0 0 | - 2 - - 1 - - 4 - | 6 o x o - | 4 9
13 11 | 0 2 3 3 1 1 1 0 0 | - 2 - - 3 - - 4 - | 6 o x o - | 4 11
